category,severity,language,canonical_term,match_type,variants_or_patterns,acronym,recommended_action,notes
sexual_inappropriate,high,fr,"envoie des nudes",phrase,"send nudes","","kick","Demande sexuelle"
hate_discrimination,critical,fr,"sale [origine/couleur/religion]",pattern,"sale arabe|sale noir|sale blanc|sale juif","","kick","Pattern haineux"
hate_discrimination,critical,fr,"[insulte homophobe]",pattern,"pd|pede|tapette","pd","kick","Insulte homophobe"
hate_discrimination,critical,fr,"retourne dans ton pays",phrase,"retourne chez toi","","kick","Xénophobie"
hate_discrimination,critical,fr,"sale handicapé",phrase,"sale handi","","kick","Discrimination"
harassment,high,fr,"ta mère",phrase,"tm","tm","warn","Attaque personnelle"
harassment,high,fr,"personne t'aime",phrase,"personne t aime","","warn","Harcèlement"
harassment,high,fr,"tout le monde te déteste",phrase,"tt le monde te deteste","","warn","Harcèlement"
harassment,high,fr,"tu fais pitié",phrase,"tu fai pitié","","warn","Harcèlement"
harassment,high,fr,"dégage",word,"degagee","","warn","Rejet agressif"
acronym,high,fr,"fdp",acronym,"f d p|f.d.p","fdp","warn_or_kick","fils de pute"
acronym,high,fr,"ntm",acronym,"n.t.m","ntm","warn_or_kick","nique ta mère"
acronym,high,fr,"tg",acronym,"tg","tg","warn","ta gueule"
acronym,high,fr,"ftg",acronym,"f.t.g","ftg","warn","ferme ta gueule"
acronym,high,fr,"vtff",acronym,"v t f f","vtff","warn_or_kick","va te faire foutre"
acronym,high,fr,"tm",acronym,"tm","tm","warn","ta mère"
acronym,critical,fr,"pd",acronym,"p d","pd","kick","Insulte homophobe"
severe_insult,high,en,"son of a bitch",phrase,"sonofa|son of b","sob","warn_or_kick","Severe insult"
severe_insult,high,en,"fuck you",phrase,"f you|fck you","fu","warn_or_kick","Severe insult"
severe_insult,high,en,"shut up",phrase,"shutup|shut upp","stfu","warn","Aggressive"
severe_insult,high,en,"asshole",word,"a55hole|assh0le|ass hole","","warn","Severe insult"
severe_insult,high,en,"bastard",word,"ba5tard","","warn","Severe insult"
severe_insult,high,en,"bitch",word,"b1tch|biatch","","warn_or_kick","Severe insult"
severe_insult,high,en,"motherfucker",word,"motherf***er|mfer","mf","warn_or_kick","Severe insult"
severe_insult,high,en,"piece of shit",phrase,"pieceofshit","pos","warn_or_kick","Severe insult"
severe_insult,high,en,"dumbass",word,"dumass|dumb a55","","warn","Severe insult"
severe_insult,high,en,"prick",word,"pr1ck","","warn","Severe insult"
moderate_toxicity,medium,en,"idiot",word,"idi0t","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"stupid",word,"stu pid|stupd","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"dumb",word,"dum","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"noob",word,"n00b|newb","","warn","Gaming insult"
moderate_toxicity,medium,en,"loser",word,"looser","","warn","Personal attack"
moderate_toxicity,medium,en,"trash",word,"tr4sh","","warn","Gaming insult"
moderate_toxicity,medium,en,"garbage",word,"garb4ge","","warn","Gaming insult"
moderate_toxicity,medium,en,"you suck",phrase,"u suck|you sux","","warn","Personal attack"
moderate_toxicity,medium,en,"pathetic",word,"pathet1c","","warn","Personal attack"
threat_violence,critical,en,"i will kill you",phrase,"ill kill you|i'll k you","","kick","Explicit threat"
threat_violence,critical,en,"i will hurt you",phrase,"ill hurt you","","kick","Physical threat"
threat_violence,critical,en,"we will find you",phrase,"we'll find you","","kick","Threat / intimidation"
threat_violence,critical,en,"you should die",phrase,"u should die","","kick","Death wish"
threat_violence,critical,en,"kill yourself",phrase,"kys|k y s","kys","kick","Dangerous encouragement"
threat_violence,critical,en,"drop dead",phrase,"dropdead","","kick","Death wish"
sexual_inappropriate,high,en,"suck me",phrase,"suk me|sck me","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"fuck me",phrase,"f me","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"dick",word,"d1ck","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"pussy",word,"pu$$y|pussi","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"porn",word,"pr0n","","warn","Sexual content"
sexual_inappropriate,high,en,"send nudes",phrase,"send noods","","kick","Sexual solicitation"
sexual_inappropriate,high,en,"blowjob",word,"bj","bj","warn_or_kick","Explicit sexual content"
hate_discrimination,critical,en,"[racial slur]",pattern,"go back to your country","","kick","Hate speech placeholder"
hate_discrimination,critical,en,"[homophobic slur]",pattern,"f*g|fgt","","kick","Hate speech placeholder"
hate_discrimination,critical,en,"go back to your country",phrase,"go back where you came from","","kick","Xenophobia"
hate_discrimination,critical,en,"get back to the kitchen",phrase,"back to the kitchen","","kick","Sexist pattern"
harassment,high,en,"nobody likes you",phrase,"no one likes you","","warn","Harassment"
harassment,high,en,"everyone hates you",phrase,"every1 hates you","","warn","Harassment"
harassment,high,en,"you are pathetic",phrase,"ur pathetic","","warn","Harassment"
harassment,high,en,"get lost",phrase,"gtfo|get tf out","gtfo","warn_or_kick","Aggressive rejection"
harassment,high,en,"your mom",phrase,"ur mom","","warn","Personal attack"
acronym,high,en,"stfu",acronym,"s t f u","stfu","warn_or_kick","shut the fuck up"
acronym,high,en,"gtfo",acronym,"g t f o","gtfo","warn_or_kick","get the fuck out"
acronym,high,en,"wtf",acronym,"w t f","wtf","warn","Vulgar / context-sensitive"
acronym,critical,en,"kys",acronym,"k y s","kys","kick","kill yourself"
acronym,high,en,"sob",acronym,"","sob","warn","son of a bitch"
acronym,high,en,"mf",acronym,"mfer","mf","warn_or_kick","motherfucker"
acronym,high,en,"fu",acronym,"f u","fu","warn_or_kick","fuck you"
acronym,high,en,"pos",acronym,"","pos","warn","piece of shit"
gaming_toxic,high,fr,"cancer",word,"cancer|cancerigene|tumeur","","warn_or_kick","Souhait de maladie ou toxicité"
gaming_toxic,high,en,"cancer",word,"cancerous|cancer team","","warn_or_kick","Using illness as insult"
gaming_toxic,medium,fr,"merde",word,"merdique|m3rde","","warn","Insulte classique"
gaming_toxic,medium,en,"trash",word,"trash tier|trashteam|rubbish","","warn","Dénigrement de niveau"
gaming_toxic,medium,fr,"t'es nul",phrase,"tes nul|t nul|gros nul|t'es éclaté|eclate au sol","","warn","Dénigrement/Toxicité"
gaming_toxic,medium,en,"diff",acronym,"jngl diff|top diff|mid diff|bot diff|gap","diff","warn","Blâme ciblé sur un rôle"
gaming_toxic,medium,en,"gg easy",phrase,"ggez|gg ez|ez pz|easy win","ggez","warn","Anti-jeu / Provocation post-game"
gaming_toxic,medium,fr,"report",word,"reportez|rep le|9x report","","warn","Harcèlement / Appel aux signalements massifs"
gaming_toxic,high,en,"uninstall",word,"uninstall the game|delete game","","warn","Incitation à ragequit"
gaming_toxic,medium,en,"dog",word,"dogshit|dog water|mut","","warn","Insulte animalière dégradante"
gaming_toxic,high,fr,"fag",word,"pd|pédé|goudou|tarlouze","","kick","Homophobie"
gaming_toxic,high,en,"fag",word,"faggot|fag","","kick","Homophobia"
gaming_toxic,critical,multi,"n-word",word,"nigger|nigga|négre|negre|n1gga","","kick","Racisme / Terme banni d'office"
gaming_toxic,medium,fr,"boosté",word,"boosted|compte boosté","","warn","Accusation de triche/achat de compte"
gaming_toxic,medium,en,"boosted",word,"boosted animal|boosted monkey","","warn","Accusation de niveau faussé"
gaming_toxic,high,en,"go die",phrase,"go d1e|hang yourself|rope","","kick","Incitation au suicide / Comportement critique"
gaming_toxic,medium,fr,"singe",word,"gros singe|monkey","","warn_or_kick","Insulte dégradante / Racisme sous-entendu"
gaming_toxic,medium,en,"hardstuck",word,"hardstuck silver|hardstuck trash","","warn","Moquerie sur le classement/rang"
moderate_toxicity,medium,fr,"tocard",word,"tokard|t0card|tocards","","warn","Insulte courante JVC / Forums"
severe_insult,high,fr,"sombre merde",phrase,"sombre m3rde|grosse merde","","warn_or_kick","Insulte rabaissante"
moderate_toxicity,medium,fr,"cancer du jeu",phrase,"cancer de la commu|cancer communautaire","","warn","Dénigrement toxique"
moderate_toxicity,medium,fr,"crypto",word,"crypto bro|cryptoshit","","warn","Spam / Contenu indésirable"
moderate_toxicity,medium,en,"brain issue",phrase,"brain diff|no brain|smooth brain","","warn","Moquerie sur l'intelligence"
severe_insult,high,en,"cuck",word,"cuckold|c4ck","","warn_or_kick","Insulte communautaire courante"
moderate_toxicity,medium,fr,"gros porc",phrase,"gros lard|grosse truie","","warn","Insulte grossophobe"
moderate_toxicity,medium,fr,"cas soc",phrase,"cassos|casos|cas social","","warn","Dénigrement social"
severe_insult,high,fr,"merde humaine",phrase,"dechet humain|sous merde","","warn_or_kick","Harcèlement lourd"
moderate_toxicity,medium,en,"npc",word,"non playable character|brainless npc","npc","warn","Invective visant à déshumaniser"
moderate_toxicity,medium,fr,"gamin",word,"kiddo|pyj|pyjama","","warn","Argot JVC pour rabaisser par l'âge"
moderate_toxicity,medium,fr,"autiste",word,"autist|autisto","","warn_or_kick","Détournement insultant d'une condition médicale"
moderate_toxicity,medium,en,"retard",word,"tard|retarded|r3tard","","kick","Insulte validiste sévère"
severe_insult,high,fr,"fdp de tes morts",phrase,"fils de pute de tes morts","fdpdtm","warn_or_kick","Insulte régionalisée / très agressive"
threat_violence,critical,fr,"va te pendre",phrase,"va tpendre|pend toi|corde","","kick","Incitation au suicide indirecte"
threat_violence,critical,en,"tie a noose",phrase,"get a rope|drink bleach","","kick","Incitation au suicide détournée"
moderate_toxicity,medium,fr,"t'es éclaté",phrase,"t es eclate|eclatax|eclate au sol","","warn","Argot récent pour détruire le niveau d'un joueur"
moderate_toxicity,medium,fr,"frustré",word,"gros frustré|frustre","","warn","Attaque psychologique"
harassment,high,fr,"lâchez-moi",phrase,"arretez tous|me harcelez pas","","warn","Signal de détresse victime / anti-griefing"
moderate_toxicity,medium,en,"cry about it",phrase,"cry more|go cry to mom","","warn","Provocation au harcèlement"
moderate_toxicity,medium,en,"clown emoji",pattern,"🤡|clown","","warn","Provocation visuelle répétée"
severe_insult,high,fr,"tabarnak",word,"tabarnac|tabarnack|tabarback","","warn","Juron québécois"
severe_insult,high,fr,"criss",word,"crisse|kryss","","warn","Juron/Insulte québécoise"
severe_insult,high,fr,"ostie",word,"asti|ostee|estie","","warn","Juron québécois"
severe_insult,high,fr,"câlice",word,"calice|calisse|kalis","","warn","Juron québécois"
severe_insult,high,fr,"trou de cul",phrase,"trou d'cul|trou dcul","tdc","warn_or_kick","Insulte anatomique"
severe_insult,high,fr,"mange de la merde",phrase,"mange de la m3rde|mange de la marde","","warn_or_kick","Insulte agressive"
severe_insult,high,fr,"épais",word,"gros épais|epais","","warn","Idiot / Insulte québécoise"
severe_insult,high,fr,"gino",word,"gino pinotte|guino","","warn","Moquerie / Insulte ciblée"
severe_insult,high,fr,"cloche",word,"grosse cloche","","warn","Moquerie / Idiot"
severe_insult,high,fr,"cave",word,"gros cave|t'es cave","","warn","Idiot en argot québécois"
severe_insult,high,fr,"niaiseux",word,"niaiseuse|niais","","warn","Niais / Idiot" 
normalization_rule,info,multi,"leet replacement",rule,"0->o|1->i/l|3->e|4->a|5->s|7->t|$->s|@->a","","normalize","Appliquer avant matching"
normalization_rule,info,multi,"remove separators",rule,"spaces|dots|underscores|hyphens repeated","","normalize","Ex: f.d.p -> fdp"
normalization_rule,info,multi,"collapse repeats",rule,"coooonnard -> conard","","normalize","Réduire lettres répétées"
normalization_rule,info,multi,"strip punctuation",rule,"!!!|***|...|__","","normalize","Nettoyage avant matching"
normalization_rule,info,multi,"accent folding",rule,"é->e|à->a|ç->c","","normalize","Uniformiser FR" 
